CIN,Change_Type,Field_Changed,Old_Value,New_Value,Date
L45200MH2000PLC126193,New Incorporation,N/A,N/A,N/A,2025-10-11
L45200MH2000PLC129201,New Incorporation,N/A,N/A,N/A,2025-10-11
L45200MH2005PLC152061,New Incorporation,N/A,N/A,N/A,2025-10-11
L45200MH2008PLC186276,New Incorporation,N/A,N/A,N/A,2025-10-11
L45200PN1991PLC129428,New Incorporation,N/A,N/A,N/A,2025-10-11
L45202MH1949PLC007048,New Incorporation,N/A,N/A,N/A,2025-10-11
L45202MH1957PLC010986,New Incorporation,N/A,N/A,N/A,2025-10-11
L45202MH1982PLC026737,New Incorporation,N/A,N/A,N/A,2025-10-11
L45202MH1992PLC067466,New Incorporation,N/A,N/A,N/A,2025-10-11
L45203MH1986PLC038535,New Incorporation,N/A,N/A,N/A,2025-10-11
L45203MH2000PLC129790,New Incorporation,N/A,N/A,N/A,2025-10-11
L45206MH1985PLC036261,New Incorporation,N/A,N/A,N/A,2025-10-11
L45309MH1988PLC268437,New Incorporation,N/A,N/A,N/A,2025-10-11
L45309MH2012PLC225939,New Incorporation,N/A,N/A,N/A,2025-10-11
L45400MH1962PLC012385,New Incorporation,N/A,N/A,N/A,2025-10-11
L45400MH2003PLC138568,New Incorporation,N/A,N/A,N/A,2025-10-11
L45400MH2008PLC179914,New Incorporation,N/A,N/A,N/A,2025-10-11
L45400MH2012PLC234318,New Incorporation,N/A,N/A,N/A,2025-10-11
L50100MH1985PLC036945,New Incorporation,N/A,N/A,N/A,2025-10-11
L51010MH1962PLC012287,New Incorporation,N/A,N/A,N/A,2025-10-11
L51100MH1983PLC030782,New Incorporation,N/A,N/A,N/A,2025-10-11
L51100MH1984PLC034190,New Incorporation,N/A,N/A,N/A,2025-10-11
L51100MH1992PLC408530,New Incorporation,N/A,N/A,N/A,2025-10-11
L51100MH1994PLC076018,New Incorporation,N/A,N/A,N/A,2025-10-11
L51100MH1997PLC112281,New Incorporation,N/A,N/A,N/A,2025-10-11
L51109MH1995PLC171177,New Incorporation,N/A,N/A,N/A,2025-10-11
L51219MH1985PLC265766,New Incorporation,N/A,N/A,N/A,2025-10-11
L51226MH1983PLC165499,New Incorporation,N/A,N/A,N/A,2025-10-11
L51311MH2007PLC175688,New Incorporation,N/A,N/A,N/A,2025-10-11
L51397MH1999PLC119118,New Incorporation,N/A,N/A,N/A,2025-10-11
L51398MH1994PLC078566,New Incorporation,N/A,N/A,N/A,2025-10-11
L51900MH1936PLC002537,New Incorporation,N/A,N/A,N/A,2025-10-11
L51900MH1978PLC020725,New Incorporation,N/A,N/A,N/A,2025-10-11
L51900MH1982PLC026292,New Incorporation,N/A,N/A,N/A,2025-10-11
